ies,sector ies,caracter ies,departamento domicilio ies,municipio domicilio ies,programa academico,nivel academico,nivel formacion,metodología,sexo,anio,semestre,graduados,matriculados
VENEZUELA,VEN,C. PUERTO ORDAZ,ADULTO JOVEN,21,NINGUNA,NINGUNA,NO INDICA,SOLTERO,FEMENINO,12,150,1,1
ESTADOS UNIDOS,USA,C. HOUSTON,ADULTO JOVEN,21,NINGUNA,NINGUNA,BACHILLERATO,UNION_LIBRE,FEMENINO,12,150,1,1
CANADA,CAN,C. MONTREAL,ADULTO JOVEN,21,CIENCIAS DE LA SALUD,ENFERMERIA,NO INDICA,DESCONOCIDO,FEMENINO,13,150,1,2
ESPANIA,ESP,C. VALENCIA ESP,ADULTO JOVEN,21,NINGUNA,NINGUNA,NO INDICA,DESCONOCIDO,FEMENINO,11,159,1,1
ESPANIA,ESP,C. BILBAO,ADULTO JOVEN,21,NINGUNA,NINGUNA,NO INDICA,SOLTERO,FEMENINO,12,165,1,1
VENEZUELA,VEN,C. VALENCIA VEN,ADULTO JOVEN,21,NINGUNA,NINGUNA,BACHILLERATO,SOLTERO,MASCULINO,13,150,1,1
ITALIA,ITA,C. MILAN,ADULTO JOVEN,21,NINGUNA,NINGUNA,NO INDICA,DESCONOCIDO,MASCULINO,11,141,1,1
ESTADOS UNIDOS,USA,C. ORLANDO,ADULTO JOVEN,21,NINGUNA,NINGUNA,BACHILLERATO,SOLTERO,FEMENINO,12,150,1,9
ESTADOS UNIDOS,USA,C. CHICAGO,ADULTO JOVEN,21,CIENCIAS DE LA EDUCACION,EDUCACION,NO INDICA,DESCONOCIDO,FEMENINO,13,150,1,1
ESPANIA,ESP,C. MADRID,ADULTO JOVEN,21,NO INDICA,NO INDICA,BACHILLERATO,SOLTERO,MASCULINO,11,168,1,1
LIBANO,LBN,C. BEIRUT,ADULTO JOVEN,21,NINGUNA,NINGUNA,NO INDICA,DESCONOCIDO,MASCULINO,11,150,1,2
ARGENTINA,ARG,C. BUENOS AIRES,ADULTO JOVEN,21,NINGUNA,NINGUNA,NO INDICA,SOLTERO,MASCULINO,12,150,1,1
ESPANIA,ESP,C. BARCELONA,ADULTO JOVEN,21,NINGUNA,NINGUNA,NO INDICA,DESCONOCIDO,FEMENINO,11,145,1,1
CHILE,CHL,C. SANTIAGO,ADULTO JOVEN,21,NO INDICA,NO INDICA,POSTGRADO - ESPECIALIZACION,SOLTERO,MASCULINO,12,150,1,1
ESTADOS UNIDOS,USA,C. NEWARK,ADULTO JOVEN,21,NINGUNA,NINGUNA,NINGUNO,SOLTERO,MASCULINO,12,150,1,1
FRANCIA,FRA,C. PARIS,ADULTO JOVEN,21,NINGUNA,NINGUNA,NO INDICA,DESCONOCIDO,MASCULINO,11,140,1,1
FRANCIA,FRA,C. PARIS,ADULTO JOVEN,21,CIENCIAS SOCIALES Y HUMANAS,CIENCIA POLITICA Y/O RELACIONES INTERNACIONALES,PREGRADO - PROFESIONAL,DESCONOCIDO,FEMENINO,12,150,1,1
CANADA,CAN,C. TORONTO,ADULTO JOVEN,21,CIENCIAS SOCIALES Y HUMANAS,CIENCIA POLITICA Y/O RELACIONES INTERNACIONALES,NO INDICA,DESCONOCIDO,FEMENINO,11,130,1,1
CHILE,CHL,C. SANTIAGO,ADULTO JOVEN,21,NINGUNA,NINGUNA,NO INDICA,DESCONOCIDO,FEMENINO,11,150,1,5
PANAMA,PAN,C. PANAMA,ADULTO JOVEN,21,NINGUNA,NINGUNA,NO INDICA,CASADO,FEMENINO,13,150,1,1
ESPANIA,ESP,C. MADRID,ADULTO JOVEN,21,NINGUNA,NINGUNA,NO INDICA,DESCONOCIDO,MASCULINO,11,148,1,2
ESPANIA,ESP,C. SEVILLA,ADULTO JOVEN,21,CIENCIAS DE LA SALUD,ENFERMERIA,NO INDICA,SOLTERO,MASCULINO,12,150,1,1
ESTADOS UNIDOS,USA,C. ATLANTA,ADULTO JOVEN,21,NINGUNA,NINGUNA,BACHILLERATO,CASADO,FEMENINO,13,150,1,1
ESTADOS UNIDOS,USA,C. MIAMI,ADULTO JOVEN,21,NO INDICA,NO INDICA,BACHILLERATO,SOLTERO,MASCULINO,11,150,1,1
PANAMA,PAN,C. PANAMA,ADULTO JOVEN,21,NINGUNA,NINGUNA,NO INDICA,DESCONOCIDO,FEMENINO,11,166,1,1
EMIRATOS ARABES UNIDOS,ARE,C. ABU DHABI,ADULTO JOVEN,21,NINGUNA,NINGUNA,NO INDICA,SOLTERO,FEMENINO,12,150,1,1
ESPANIA,ESP,C. MADRID,ADULTO JOVEN,21,NINGUNA,NINGUNA,BACHILLERATO,SOLTERO,MASCULINO,11,148,1,1
ESTADOS UNIDOS,USA,C. MIAMI,ADULTO JOVEN,21,NINGUNA,NINGUNA,BACHILLERATO,SOLTERO,MASCULINO,13,150,1,6
ISRAEL,ISR,C. TEL AVIV,ADULTO JOVEN,21,NINGUNA,NINGUNA,NO INDICA,SOLTERO,MASCULINO,13,150,1,2
ESTADOS UNIDOS,USA,C. MIAMI,ADULTO JOVEN,21,NINGUNA,NINGUNA,NO INDICA,SOLTERO,MASCULINO,12,150,1,38
CHILE,CHL,C. SANTIAGO,ADULTO JOVEN,21,NO INDICA,COCINA Y CULINARIA,NO INDICA,DESCONOCIDO,MASCULINO,11,135,1,1
CANADA,CAN,C. TORONTO,ADULTO JOVEN,21,NINGUNA,NINGUNA,NO INDICA,DESCONOCIDO,MASCULINO,11,140,1,2
VENEZUELA,VEN,C. VALENCIA VEN,ADULTO JOVEN,21,NO INDICA,NO INDICA,PRIMARIA,SOLTERO,MASCULINO,12,170,1,1
ESPANIA,ESP,C. MADRID,ADULTO JOVEN,21,NO INDICA,NO INDICA,BACHILLERATO,SOLTERO,MASCULINO,13,176,1,1
ESPANIA,ESP,C. MADRID,ADULTO JOVEN,21,NO INDICA,NO INDICA,BACHILLERATO,SOLTERO,MASCULINO,12,148,1,2
ESTADOS UNIDOS,USA,C. BOSTON,ADULTO JOVEN,21,NO INDICA,AVIACION,NO INDICA,SOLTERO,MASCULINO,13,150,1,1
VIET NAM,VNM,C. HANOI,ADULTO JOVEN,21,NINGUNA,NINGUNA,NO INDICA,DESCONOCIDO,FEMENINO,13,150,1,1
MEXICO,MEX,C. GUADALAJARA,ADULTO JOVEN,21,NINGUNA,NINGUNA,NO INDICA,DESCONOCIDO,FEMENINO,11,152,1,1
ESPANIA,ESP,C. BARCELONA,ADULTO JOVEN,21,NINGUNA,NINGUNA,NO INDICA,SOLTERO,MASCULINO,01,150,1,1
CANADA,CAN,C. CALGARY,ADULTO JOVEN,21,NINGUNA,NINGUNA,NO INDICA,DESCONOCIDO,FEMENINO,11,164,1,1
ESTADOS UNIDOS,USA,C. MIAMI,ADULTO JOVEN,21,NINGUNA,NINGUNA,NO INDICA,DESCONOCIDO,MASCULINO,11,145,1,3
ECUADOR,ECU,C. NUEVA LOJA,ADULTO JOVEN,21,NO INDICA,NO INDICA,NINGUNO,SOLTERO,MASCULINO,11,150,1,1
VENEZUELA,VEN,C. MARACAIBO,ADULTO JOVEN,21,BELLAS ARTES,DISENIO,PREGRADO - PROFESIONAL,SOLTERO,FEMENINO,12,150,1,1
ESPANIA,ESP,C. BILBAO,ADULTO JOVEN,21,NINGUNA,NINGUNA,NO INDICA,DESCONOCIDO,MASCULINO,13,150,1,2
PANAMA,PAN,C. PANAMA,ADULTO JOVEN,21,NINGUNA,NINGUNA,PRIMARIA,DIVORCIADO,MASCULINO,13,150,1,1
ESTADOS UNIDOS,USA,C. ORLANDO,ADULTO JOVEN,21,NINGUNA,NINGUNA,NO INDICA,DESCONOCIDO,MASCULINO,11,147,1,2
ESTADOS UNIDOS,USA,C. HOUSTON,ADULTO JOVEN,21,CIENCIAS DE LA SALUD,ENFERMERIA,NO INDICA,UNION_LIBRE,FEMENINO,12,150,1,1
CANADA,CAN,C. CALGARY,ADULTO JOVEN,21,NINGUNA,NINGUNA,NO INDICA,SOLTERO,FEMENINO,13,150,1,6
ESPANIA,ESP,C. SEVILLA,ADULTO JOVEN,21,CIENCIAS DE LA SALUD,ENFERMERIA,NO INDICA,DESCONOCIDO,FEMENINO,11,158,1,1
ESPANIA,ESP,C. BARCELONA,ADULTO JOVEN,21,NINGUNA,NINGUNA,NO INDICA,UNION_LIBRE,FEMENINO,12,150,1,3
